ba�os;m2;jardin;ascensor;piscina;terraza;habitaciones;a_reformar;tipo_vendedor;precio_final;distrito;armarios.empotrados;acceso.adaptado;aire.acondicionado;balcon;trastero;garaje.incluido;calefaccion;planta;vistas;variacion_precio;dias_venta
2;113;0;1;0;0;3;0;1;279900;ciutat vella;1;0;1;1;0;0;1;4;1;0;0
2;115;0;1;0;1;3;0;1;220000;camins al grau;1;0;1;0;0;0;0;5;1;0;0
1;80;0;1;0;1;2;0;1;134000;poblats marítims;1;0;1;0;1;0;1;3;1;0;16
1;63;0;1;0;1;1;0;1;250000;l'eixample;1;1;1;0;0;0;1;5;1;0;15
3;212;0;1;0;0;5;0;2;502000;el pla del real;1;1;1;0;0;1;1;4;1;0;28
2;119;0;1;0;1;5;0;2;160000;patraix;1;1;1;1;0;1;1;6;1;0;20
2;100;0;1;0;0;4;0;2;120000;patraix;1;0;0;0;0;0;0;3;1;0;44
1;85;0;1;0;1;4;0;1;145000;l'olivereta;1;0;1;0;0;0;1;4;1;0;39
2;110;0;1;0;0;3;0;2;170000;patraix;1;0;0;1;0;0;1;3;1;0;15
2;110;0;1;0;0;2;0;2;450000;ciutat vella;0;0;1;0;0;1;1;3;1;0;44
2;331;0;1;0;0;8;0;2;750000;ciutat vella;1;0;1;1;1;0;1;2;1;0;28
1;53;1;1;1;1;1;0;1;165000;benicalap;1;0;1;0;1;1;0;5;1;0;16
4;418;0;1;1;1;4;0;2;3300000;el pla del real;0;0;0;0;1;1;1;8;1;0;41
1;96;0;1;0;0;2;0;1;230000;quatre carreres;1;0;1;1;0;0;0;5;1;0;0
2;117;0;1;0;0;4;0;2;145000;rascanya;1;0;0;0;0;0;0;2;1;0;NA
1;80;1;1;1;1;2;0;1;320000;campanar;1;0;1;0;0;1;0;0;1;0;16
2;200;0;1;0;1;5;0;2;535000;l'eixample;1;1;1;0;0;0;1;5;1;0;28
4;274;0;1;1;0;5;0;2;525000;extramurs;1;1;1;0;1;1;1;6;1;0;28
2;241;0;1;0;1;4;0;2;485000;la saïdia;1;0;1;1;1;1;0;7;1;0;0
3;220;0;1;0;0;3;0;2;800000;l'eixample;1;0;1;0;0;1;0;6;0;0;28
5;350;1;1;1;0;6;0;2;900000;extramurs;1;0;1;0;1;0;0;1;1;0;28
1;100;0;1;0;0;3;0;1;123000;quatre carreres;1;0;1;1;1;0;0;1;1;0;53
2;92;0;1;0;0;3;1;2;160000;l'eixample;0;0;0;0;0;0;0;3;1;0;0
2;93;0;1;0;1;4;1;1;175000;el pla del real;1;1;0;1;0;1;1;1;1;-6000;51
3;140;0;1;0;0;3;0;2;440000;ciutat vella;1;0;1;1;0;0;1;3;1;0;20
1;50;1;1;1;0;1;0;2;135000;quatre carreres;1;0;1;1;0;1;0;1;1;0;28
2;131;0;1;0;0;3;0;2;257000;extramurs;1;1;1;0;0;0;0;4;1;0;0
2;129;0;1;0;0;5;0;2;285000;l'eixample;1;0;0;0;0;0;1;3;1;0;28
3;264;0;1;0;1;7;0;2;550000;l'eixample;1;0;1;0;1;0;1;2;1;0;28
3;236;0;1;0;1;5;0;2;690000;ciutat vella;1;0;1;0;1;1;0;8;1;0;49
1;111;0;1;0;0;5;1;2;205000;l'eixample;1;0;1;1;0;0;1;3;1;0;28
1;88;0;1;0;1;3;0;2;270000;poblats marítims;0;0;0;0;0;0;1;4;1;0;24
1;87;0;0;0;0;3;0;2;101000;patraix;0;0;0;0;0;0;1;4;1;0;12
2;88;0;1;0;1;2;0;2;1000000;ciutat vella;1;0;1;0;0;0;0;4;1;0;28
4;276;0;1;0;0;4;0;2;995000;l'eixample;1;0;1;0;0;1;0;8;1;0;28
1;41;0;0;0;0;1;0;2;180000;ciutat vella;1;0;1;0;0;0;1;1;1;0;28
1;71;0;0;0;0;3;0;2;53000;rascanya;0;0;1;0;0;0;0;5;1;0;25
1;78;0;1;0;0;1;0;2;244000;ciutat vella;1;0;1;0;1;0;0;5;1;0;28
2;213;0;1;0;1;6;0;2;350000;poblats marítims;1;0;1;0;1;1;1;1;1;0;40
1;57;0;0;0;0;2;0;2;149000;l'eixample;1;0;1;1;0;1;0;2;1;0;44
1;69;0;1;0;0;2;0;2;70000;rascanya;0;0;0;0;0;0;0;4;1;0;28
3;264;0;1;0;0;4;0;2;445000;extramurs;1;1;1;1;0;0;1;3;1;0;51
2;213;0;1;0;1;4;0;2;1250000;l'eixample;1;0;1;0;0;0;0;3;1;0;20
2;155;0;1;0;0;3;0;2;199900;camins al grau;0;0;0;0;0;0;0;5;1;0;37
2;220;0;1;0;1;6;1;2;620000;l'eixample;0;1;0;1;1;0;1;2;1;0;25
2;98;0;1;0;1;4;1;1;224950;extramurs;1;1;0;1;0;1;0;3;1;0;28
1;76;0;1;0;0;3;0;2;158000;l'olivereta;1;0;0;0;0;0;0;9;0;0;16
1;60;0;0;0;0;2;0;2;80000;poblats marítims;0;0;0;0;0;0;0;1;1;0;0
2;117;0;1;0;0;3;0;2;225000;poblats marítims;1;0;1;0;1;0;1;4;1;0;32
2;118;0;1;0;0;3;0;2;290000;extramurs;1;0;1;1;0;0;1;8;1;0;28
1;80;0;1;0;0;3;0;2;155000;benimaclet;0;0;0;1;0;0;0;4;1;0;26
2;132;0;1;0;1;2;0;1;360000;extramurs;1;1;1;1;1;1;1;1;1;0;13
2;166;0;1;0;0;5;1;2;770000;ciutat vella;0;0;1;1;1;0;1;6;1;0;28
2;87;0;1;0;0;3;0;2;149000;ciutat vella;1;0;1;1;0;0;0;3;1;0;3
2;113;0;1;0;1;3;0;1;283500;quatre carreres;1;1;1;1;1;0;0;8;1;0;12
2;183;0;1;0;0;4;1;2;465000;l'eixample;1;1;0;1;0;0;1;5;1;0;25
2;100;0;1;0;0;3;0;2;170000;patraix;1;0;1;1;0;1;0;3;1;0;48
2;80;0;1;0;1;2;0;1;269900;extramurs;1;0;1;0;0;0;1;1;1;0;44
1;46;1;1;1;1;1;0;2;150000;benicalap;1;1;1;0;1;1;0;5;1;0;3
1;87;0;1;0;0;3;0;1;215000;extramurs;0;1;1;1;0;0;0;5;1;0;28
3;272;0;1;0;1;6;0;2;600000;el pla del real;1;0;1;1;0;1;1;10;1;0;41
4;300;0;1;1;1;6;0;2;580000;extramurs;1;1;1;1;1;1;1;7;1;0;51
2;117;0;1;0;1;4;0;2;243000;patraix;1;0;1;1;0;1;0;1;1;0;44
2;120;1;1;1;0;3;0;2;450000;camins al grau;1;1;1;1;0;1;1;3;1;0;8
1;82;0;0;0;0;3;0;2;124000;benimaclet;0;0;1;0;0;0;0;4;1;0;16
2;115;0;1;0;0;4;0;1;210000;la saïdia;1;1;1;1;0;0;1;7;1;0;12
2;90;0;1;0;0;3;0;2;350000;ciutat vella;1;0;1;0;0;0;1;5;1;0;0
2;140;0;1;0;0;3;0;2;250000;patraix;1;0;1;1;0;0;0;5;1;0;28
2;85;0;1;0;0;2;1;2;134000;ciutat vella;0;1;0;1;0;0;0;2;1;0;28
3;212;0;1;0;0;5;0;2;502016;el pla del real;0;0;1;0;0;0;1;4;1;0;20
3;180;0;1;0;1;4;0;2;608000;el pla del real;0;0;1;0;0;0;1;5;1;0;20
3;205;0;1;0;0;4;0;2;875000;l'eixample;1;0;1;1;1;1;1;1;1;0;28
3;286;0;1;0;1;6;0;2;565000;l'eixample;1;1;1;0;0;0;1;8;1;0;20
1;100;0;1;0;0;3;0;2;190000;extramurs;0;0;1;0;1;0;0;4;1;0;0
1;103;0;1;0;1;3;1;2;220000;extramurs;1;0;1;0;0;0;1;1;1;0;41
2;127;0;1;0;0;2;0;2;220000;extramurs;1;0;0;0;0;0;0;2;0;0;44
2;120;0;1;0;1;4;0;1;225000;patraix;1;0;0;1;0;1;0;2;1;0;0
1;60;0;1;0;1;2;0;2;75000;jesús;0;0;0;0;0;0;0;0;1;0;13
4;209;0;1;0;0;4;0;2;875000;l'eixample;1;1;1;0;1;1;1;1;1;0;28
1;130;0;1;0;1;3;0;2;200000;l'olivereta;1;1;1;1;0;0;1;1;1;0;16
2;100;0;1;0;0;3;0;2;250000;extramurs;1;0;1;1;0;1;1;6;1;0;16
2;100;0;1;0;0;4;0;2;195000;algirós;0;0;0;1;0;0;0;3;1;0;29
1;104;0;1;0;0;4;0;2;180000;poblats marítims;1;0;0;1;0;0;0;6;1;0;20
2;120;0;1;0;1;3;0;2;210000;algirós;0;1;1;1;0;0;0;1;1;0;10
1;75;0;1;0;0;3;0;2;110000;extramurs;0;1;0;0;0;0;0;2;0;0;16
2;95;1;1;0;1;3;0;2;127000;ciutat vella;1;1;1;1;0;1;1;1;1;-777;21
2;131;0;1;0;1;2;0;2;420000;l'eixample;1;0;1;0;1;0;1;1;1;0;41
2;97;0;1;0;0;4;0;2;195000;algirós;0;0;1;1;0;0;1;3;1;0;32
2;106;0;1;0;0;4;0;2;155000;la saïdia;1;0;0;1;0;0;1;3;1;0;28
1;70;0;0;0;0;3;0;2;140000;poblats marítims;1;0;1;0;0;0;0;3;1;0;13
3;290;0;1;0;1;5;0;2;765000;ciutat vella;1;0;1;1;0;0;1;4;1;0;25
2;87;0;0;0;0;2;0;2;290000;ciutat vella;1;0;1;1;0;0;1;1;1;0;NA
1;86;0;1;0;1;1;0;2;165000;rascanya;1;0;0;0;0;0;0;7;1;0;0
1;100;0;1;0;1;2;0;1;179000;l'olivereta;1;1;1;1;0;0;1;10;1;0;0
2;103;0;1;0;0;4;0;2;150000;patraix;1;0;0;1;0;0;0;2;1;0;41
1;80;0;0;0;0;3;0;2;130000;quatre carreres;0;0;0;0;0;0;0;2;1;0;0
1;73;0;0;0;0;3;0;2;99900;benicalap;1;0;1;1;0;0;0;5;1;0;13
2;124;1;1;1;1;3;0;2;320000;jesús;1;1;1;1;1;1;1;17;1;0;16
2;102;0;1;0;0;4;1;2;129000;campanar;0;0;1;1;0;0;1;1;1;0;NA
2;105;0;1;0;0;3;0;1;178000;poblats marítims;1;0;1;1;0;0;1;1;1;-2000;32
1;90;0;1;0;0;3;0;2;159900;benicalap;0;0;1;0;0;0;0;1;1;0;8
1;91;0;1;0;1;3;0;2;150000;benicalap;1;0;0;1;0;0;0;1;1;0;23
2;97;0;1;0;1;2;0;2;415000;el pla del real;1;1;1;0;0;0;1;5;1;0;0
2;98;0;1;0;0;3;0;2;153000;jesús;0;0;1;1;0;1;0;1;1;0;11
1;95;0;1;0;0;3;1;2;152000;el pla del real;0;1;1;0;0;0;1;1;1;0;28
