"";"baños";"m2";"jardin";"ascensor";"piscina";"terraza";"habitaciones";"a_reformar";"tipo_vendedor";"latitud";"longitud";"url";"precio_final";"distrito";"barrio";"armarios.empotrados";"acceso.adaptado";"aire.acondicionado";"balcon";"trastero";"garaje.incluido";"calefaccion";"planta";"vistas";"variacion_precio";"dias_venta";"planta_cat";"preciom2"
"1";2;113;"0";"1";"0";"0";3;"0";"1";39,4716607;-0,3823512;"https://www.idealista.com/inmueble/1652533/";279900;"ciutat vella";"el pilar";"1";"0";"1";"1";"0";"0";"1";4;"1";0;0;"Media";2476,99115044248
"2";2;115;"0";"1";"0";"1";3;"0";"1";39,4659224;-0,3512466;"https://www.idealista.com/inmueble/1757067/";220000;"camins al grau";"albors";"1";"0";"1";"0";"0";"0";"0";5;"1";0;0;"Alta";1913,04347826087
"3";1;80;"0";"1";"0";"1";2;"0";"1";39,4729907;-0,3349967;"https://www.idealista.com/inmueble/1858636/";134000;"poblats marítims";"beteró";"1";"0";"1";"0";"1";"0";"1";3;"1";0;16;"Media";1675
"4";1;63;"0";"1";"0";"1";1;"0";"1";39,4635224;-0,3734334;"https://www.idealista.com/inmueble/25681536/";250000;"l'eixample";"russafa";"1";"1";"1";"0";"0";"0";"1";5;"1";0;15;"Alta";3968,25396825397
"5";3;212;"0";"1";"0";"0";5;"0";"2";39,4710111;-0,3550075;"https://www.idealista.com/inmueble/27925767/";502000;"el pla del real";"mestalla";"1";"1";"1";"0";"0";"1";"1";4;"1";0;28;"Media";2367,92452830189
"6";2;119;"0";"1";"0";"1";5;"0";"2";39,4582938;-0,3917841;"https://www.idealista.com/inmueble/28026314/";160000;"patraix";"patraix";"1";"1";"1";"1";"0";"1";"1";6;"1";0;20;"Alta";1344,53781512605
"7";2;100;"0";"1";"0";"0";4;"0";"2";39,4522925;-0,3947919;"https://www.idealista.com/inmueble/28813637/";120000;"patraix";"de favara";"1";"0";"0";"0";"0";"0";"0";3;"1";0;44;"Media";1200
"8";1;85;"0";"1";"0";"1";4;"0";"1";39,4681384;-0,4003488;"https://www.idealista.com/inmueble/30868217/";145000;"l'olivereta";"tres forques";"1";"0";"1";"0";"0";"0";"1";4;"1";0;39;"Media";1705,88235294118
"9";2;110;"0";"1";"0";"0";3;"0";"2";39,4641136;-0,3936071;"https://www.idealista.com/inmueble/30902353/";170000;"patraix";"patraix";"1";"0";"0";"1";"0";"0";"1";3;"1";0;15;"Media";1545,45454545455
"10";2;110;"0";"1";"0";"0";2;"0";"2";39,4723819;-0,3741476;"https://www.idealista.com/inmueble/31148644/";450000;"ciutat vella";"la xerea";"0";"0";"1";"0";"0";"1";"1";3;"1";0;44;"Media";4090,90909090909
"11";1;67;"0";"0";"0";"0";3;"0";"2";39,4691163;-0,4061961;"https://www.idealista.com/inmueble/31180680/";74000;"l'olivereta";"tres forques";"0";"0";"0";"0";"0";"0";"0";3;"1";0;16;"Media";1104,4776119403
"12";2;331;"0";"1";"0";"0";8;"0";"2";39,4680705;-0,3752165;"https://www.idealista.com/inmueble/31269132/";750000;"ciutat vella";"sant francesc";"1";"0";"1";"1";"1";"0";"1";2;"1";0;28;"Baja";2265,86102719033
"13";1;53;"1";"1";"1";"1";1;"0";"1";39,4940988;-0,4007666;"https://www.idealista.com/inmueble/31685607/";165000;"benicalap";"benicalap";"1";"0";"1";"0";"1";"1";"0";5;"1";0;16;"Alta";3113,20754716981
"14";4;418;"0";"1";"1";"1";4;"0";"2";39,4717198;-0,3619715;"https://www.idealista.com/inmueble/31908002/";3300000;"el pla del real";"mestalla";"0";"0";"0";"0";"1";"1";"1";8;"1";0;41;"Alta";7894,73684210526
"15";1;96;"0";"1";"0";"0";2;"0";"1";39,455325;-0,359098;"https://www.idealista.com/inmueble/32037872/";230000;"quatre carreres";"ciutat de les arts i de les ciencies";"1";"0";"1";"1";"0";"0";"0";5;"1";0;0;"Alta";2395,83333333333
"16";2;185;"0";"1";"0";"0";3;"0";"2";39,4673088;-0,372955;"https://www.idealista.com/inmueble/32180231/";490000;"ciutat vella";"sant francesc";"1";"0";"0";"1";"0";"0";"1";2;"1";0;12;"Baja";2648,64864864865
"17";2;212;"0";"1";"0";"0";4;"0";"2";39,4695088;-0,374655;"https://www.idealista.com/inmueble/32180248/";550000;"ciutat vella";"sant francesc";"1";"0";"0";"1";"0";"0";"1";2;"1";0;12;"Baja";2594,33962264151
"18";1;80;"1";"1";"1";"1";2;"0";"1";39,4878196;-0,4068815;"https://www.idealista.com/inmueble/33601044/";320000;"campanar";"sant pau";"1";"0";"1";"0";"0";"1";"0";0;"1";0;16;"Baja";4000
"19";2;200;"0";"1";"0";"1";5;"0";"2";39,4724725;-0,3685964;"https://www.idealista.com/inmueble/33875563/";535000;"l'eixample";"el pla del remei";"1";"1";"1";"0";"0";"0";"1";5;"1";0;28;"Alta";2675
"20";4;274;"0";"1";"1";"0";5;"0";"2";39,4648223;-0,3862294;"https://www.idealista.com/inmueble/33930424/";525000;"extramurs";"arrancapins";"1";"1";"1";"0";"1";"1";"1";6;"1";0;28;"Alta";1916,05839416058
"21";2;241;"0";"1";"0";"1";4;"0";"2";39,4851272;-0,3711683;"https://www.idealista.com/inmueble/33955213/";485000;"la saïdia";"sant antoni";"1";"0";"1";"1";"1";"1";"0";7;"1";0;0;"Alta";2012,44813278008
"22";5;350;"1";"1";"1";"0";6;"0";"2";39,4672017;-0,382367;"https://www.idealista.com/inmueble/34396995/";900000;"extramurs";"arrancapins";"1";"0";"1";"0";"1";"0";"0";1;"1";0;28;"Baja";2571,42857142857
"23";1;100;"0";"1";"0";"0";3;"0";"1";39,4584188;-0,3631232;"https://www.idealista.com/inmueble/34416033/";123000;"quatre carreres";"mont-olivet";"1";"0";"1";"1";"1";"0";"0";1;"1";0;53;"Baja";1230
"24";1;69;"0";"0";"0";"0";2;"0";"2";39,4715798;-0,3365066;"https://www.idealista.com/inmueble/34597299/";85000;"poblats marítims";"beteró";"1";"0";"1";"0";"0";"0";"1";4;"1";0;15;"Media";1231,88405797101
"25";1;70;"0";"0";"0";"0";2;"0";"2";39,4939572;-0,3947527;"https://www.idealista.com/inmueble/34833718/";88640;"benicalap";"benicalap";"0";"0";"0";"0";"0";"0";"0";1;"1";0;12;"Baja";1266,28571428571
"26";2;92;"0";"1";"0";"0";3;"1";"2";39,4566697;-0,3763181;"https://www.idealista.com/inmueble/35078231/";160000;"l'eixample";"russafa";"0";"0";"0";"0";"0";"0";"0";3;"1";0;0;"Media";1739,13043478261
"27";2;93;"0";"1";"0";"1";4;"1";"1";39,4725771;-0,3552314;"https://www.idealista.com/inmueble/35220820/";175000;"el pla del real";"mestalla";"1";"1";"0";"1";"0";"1";"1";1;"1";-6000;51;"Baja";1881,72043010753
"28";3;140;"0";"1";"0";"0";3;"0";"2";39,4753687;-0,3728654;"https://www.idealista.com/inmueble/35331705/";440000;"ciutat vella";"la xerea";"1";"0";"1";"1";"0";"0";"1";3;"1";0;20;"Media";3142,85714285714
