propertycode;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_operation;ad_owner_type;price_first;ad_typology;date_insert;latitude;longitude;price_last;price;date_last;distrito;day_insert;day_last;tiempo_venta;vendido
2219133;1.0;60.0;;;;;;;1;1;110000;6;2022-02-24 22:05:45.813502;394.543.108;-0.3897272;110000;110000;2022-03-11 18:37:50.394092;jesús;24/02/2022;11/03/2022;15;0
2219256;2.0;110.0;;;;;;;1;1;180000;6;2022-02-24 21:13:56.317138;394.730.673;-0.3338552;180000;180000;2022-03-11 18:34:26.572807;poblats marítims;24/02/2022;11/03/2022;15;0
2223967;2.0;250.0;;;;;;;1;1;165000;6;2022-02-24 21:25:39.599727;394.596.941;-0.3909193;165000;165000;2022-03-11 18:35:08.414024;patraix;24/02/2022;11/03/2022;15;0
2224722;1.0;50.0;;;;;;;1;1;65000;6;2022-02-24 21:33:14.624073;3.945.311.220.000.000;-0.393069;65000;65000;2022-03-11 18:34:28.066680;patraix;24/02/2022;11/03/2022;15;0
2225006;3.0;108.0;;;;;;;1;1;650000;6;2022-02-24 22:49:34.268693;394.581.559;-0.3480308;650000;650000;2022-03-11 18:38:15.598493;camins al grau;24/02/2022;11/03/2022;15;0
2225396;1.0;92.0;;;;;;;1;1;256000;6;2022-02-24 22:28:56.812609;394.768.821;-0.3815529;256000;256000;2022-03-11 18:38:10.591336;ciutat vella;24/02/2022;11/03/2022;15;0
2226432;1.0;62.0;;;;;;;2;1;375;6;2022-03-01 13:38:36.392583;394.953.175;-0.3732384;375;375;2022-03-04 22:00:47.738551;rascanya;01/03/2022;04/03/2022;3;1
2228881;1.0;198.0;;;;;;;1;1;400000;6;2022-02-24 22:53:53.657134;39.482.058;-0.3964633;400000;400000;2022-03-11 18:38:11.378344;campanar;24/02/2022;11/03/2022;15;0
2232633;1.0;112.0;;;;;;;1;1;120000;6;2022-02-24 21:33:57.601223;39.491.472;-0.3756747;120000;120000;2022-03-11 18:35:53.869279;la saïdia;24/02/2022;11/03/2022;15;0
2233384;2.0;1200.0;;;;;;;1;1;400000;6;2022-02-24 21:11:44.769313;394.439.402;-0.3409245;400000;400000;2022-03-11 18:33:08.297931;quatre carreres;24/02/2022;11/03/2022;15;0
2233715;2.0;254.0;;;;;;;1;1;285200;6;2022-02-24 22:30:06.071812;3.948.053.820.000.000;-0.3821812;285200;285200;2022-03-11 18:37:49.032307;ciutat vella;24/02/2022;11/03/2022;15;0
2233942;1.0;131.0;;;;;;;1;1;210000;6;2022-02-24 22:09:05.886084;394.746.007;-0.3842447;210000;210000;2022-03-11 18:37:49.807152;extramurs;24/02/2022;11/03/2022;15;0
2234018;1.0;115.0;;;;;;;1;1;90000;6;2022-02-24 20:50:41.909617;394.945.828;-0.377028;90000;90000;2022-03-11 18:33:54.143233;rascanya;24/02/2022;11/03/2022;15;0
2237431;0.0;550.0;;;;;;;2;1;1500;6;2022-03-01 14:01:43.341342;3.948.747.879.999.990;-0.3880214;1500;1500;2022-03-04 22:02:35.506110;la saïdia;01/03/2022;04/03/2022;3;1
2243788;0.0;268.0;;;;;;;2;2;1300;6;2022-03-01 15:53:33.810832;39.489.891;-0.3978485;1300;1300;2022-03-04 22:09:36.981617;benicalap;01/03/2022;04/03/2022;3;1
2247854;1.0;175.0;;;;;;;2;1;1200;6;2022-03-01 14:26:11.431531;39.459.098;-0.3716786;1200;1200;2022-03-04 22:03:45.410711;l'eixample;01/03/2022;04/03/2022;3;1
2253856;2.0;210.0;;;;;;;1;2;170000;6;2022-02-24 21:08:21.704948;394.498.838;-0.3798991;170000;170000;2022-03-11 18:33:25.135211;quatre carreres;24/02/2022;11/03/2022;15;0
2261444;9.0;2090.0;;;;;;;2;1;8210;6;2022-03-01 15:45:42.289872;394.758.094;-0.4005109000000001;8210;8210;2022-03-04 22:08:36.700991;campanar;01/03/2022;04/03/2022;3;1
2261913;1.0;70.0;;;;;;;1;1;49000;6;2022-02-24 20:46:32.675400;3.949.683.579.999.990;-0.3726707;49000;49000;2022-03-11 18:33:05.085557;rascanya;24/02/2022;11/03/2022;15;0
2265167;1.0;196.0;;;;;;;2;2;750;6;2022-03-01 15:31:42.387848;394.730.324;-0.3805178;750;750;2022-03-04 22:06:42.835836;ciutat vella;01/03/2022;04/03/2022;3;1
2266234;2.0;125.0;;;;;;;1;1;312500;6;2022-02-24 22:40:20.430691;39.478.198.600.000.000;-0.3660759;312500;312500;2022-03-11 18:37:40.724095;el pla del real;24/02/2022;11/03/2022;15;0
2268876;1.0;50.0;;;;;;;1;1;65000;6;2022-02-24 21:33:12.987299;394.508.235;-0.4030044;65000;65000;2022-03-11 18:34:28.115658;patraix;24/02/2022;11/03/2022;15;0
2271706;3.0;205.0;;;;;;;1;1;400000;6;2022-02-24 22:54:45.981624;394.909.225;-0.3945113;400000;400000;2022-03-11 18:38:43.933859;benicalap;24/02/2022;11/03/2022;15;0
2274687;1.0;120.0;;;;;;;1;1;130000;6;2022-02-24 22:55:42.236480;3.949.501.179.999.990;-0.3832032;130000;130000;2022-03-11 18:38:42.228218;benicalap;24/02/2022;11/03/2022;15;0
2277062;0.0;334.0;;;;;;;1;1;300600;6;2022-02-24 22:54:21.192943;394.908.785;-0.3844064;300600;300600;2022-03-11 18:38:18.656484;benicalap;24/02/2022;11/03/2022;15;0
2277400;0.0;195.0;;;;;;;1;1;175500;6;2022-02-24 22:57:28.046132;394.906.406;-0.3839332;175500;175500;2022-03-11 18:38:39.342768;benicalap;24/02/2022;11/03/2022;15;0
