"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"266",2,113,0,1,0,0,0,3,0,1,1,39.4716607,-0.3823512,279900,279900,"ciutat vella",4,"exterior",0,0
"361",2,115,0,1,0,0,1,3,0,1,1,39.4659224,-0.3512466,220000,220000,"camins al grau",5,"exterior",0,0
"421",1,80,0,1,0,0,1,2,0,1,1,39.4729907,-0.3349967,134000,134000,"poblats marítims",3,"exterior",0,16
"624",1,63,0,1,0,0,1,1,0,1,1,39.4635224,-0.3734334,250000,250000,"l'eixample",5,"exterior",0,15
"923",3,212,0,1,1,0,0,5,0,2,1,39.4710111,-0.3550075,502000,502000,"el pla del real",4,"exterior",0,28
"936",2,119,0,1,1,0,1,5,0,2,1,39.4582938,-0.3917841,160000,160000,"patraix",6,"exterior",0,20
"1059",2,100,0,1,0,0,0,4,0,2,1,39.4522925,-0.3947919,120000,120000,"patraix",3,"exterior",0,44
"1307",1,85,0,1,0,0,1,4,0,1,1,39.4681384,-0.4003488,145000,145000,"l'olivereta",4,"exterior",0,39
"1363",2,110,NA,1,NA,0,NA,3,0,2,1,39.4641136,-0.3936071,170000,170000,"patraix",3,"exterior",0,15
"1406",2,110,0,1,1,0,NA,2,0,2,1,39.4723819,-0.3741476,450000,450000,"ciutat vella",3,"exterior",0,44
"1416",1,67,NA,NA,NA,0,NA,3,0,2,1,39.4691163,-0.4061961,74000,74000,"l'olivereta",NA,"",0,16
"1432",2,331,NA,1,0,NA,NA,8,0,2,1,39.4680705,-0.3752165,750000,750000,"ciutat vella",2,"exterior",0,28
"1500",1,53,1,1,1,1,1,1,0,1,1,39.4940988,-0.4007666,165000,165000,"benicalap",5,"exterior",0,16
"1539",4,418,0,1,1,1,1,4,0,2,1,39.4717198,-0.3619715,3300000,3300000,"el pla del real",8,"exterior",0,41
"1562",1,96,0,1,0,0,0,2,0,1,1,39.455325,-0.359098,230000,230000,"quatre carreres",5,"exterior",0,0
"1584",2,185,0,1,0,0,0,3,0,2,1,39.4673088,-0.372955,490000,490000,"ciutat vella",2,"",0,12
"1585",2,212,0,1,0,0,0,4,0,2,1,39.4695088,-0.374655,550000,550000,"ciutat vella",2,"",0,12
"1741",1,80,1,1,1,1,1,2,0,1,1,39.4878196,-0.4068815,320000,320000,"campanar",NA,"",0,16
"1831",2,200,NA,1,NA,NA,1,5,0,2,1,39.4724725,-0.3685964,535000,535000,"l'eixample",5,"exterior",0,28
"1848",4,274,0,1,1,1,0,5,0,2,1,39.4648223,-0.3862294,525000,525000,"extramurs",6,"exterior",0,28
"1890",2,241,NA,1,1,NA,1,4,0,2,1,39.4851272,-0.3711683,485000,485000,"la saïdia",7,"exterior",0,0
"1973",3,220,0,1,1,0,NA,3,0,2,1,39.4654734,-0.372251,800000,800000,"l'eixample",6,"interior",0,28
"1974",5,350,1,1,0,1,NA,6,0,2,1,39.4672017,-0.382367,900000,900000,"extramurs",1,"exterior",0,28
"1979",1,100,0,1,0,0,0,3,0,1,1,39.4584188,-0.3631232,123000,123000,"quatre carreres",1,"exterior",0,53
"1997",1,69,0,0,NA,0,NA,2,0,2,1,39.4715798,-0.3365066,85000,85000,"poblats marítims",4,"",0,15
"2123",1,70,NA,NA,NA,NA,NA,2,0,2,1,39.4939572,-0.3947527,88640,88640,"benicalap",NA,"",0,12
"2202",2,92,NA,1,0,NA,NA,3,1,2,1,39.4566697,-0.3763181,160000,160000,"l'eixample",3,"exterior",0,0
