id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location_x;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;address_location_y;distrito;ascensor;ascensor_bool;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
65;1.0;75.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;1;1;1;"[""Calle Gayano Lluch, 5"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";2021-12-30 17:39:55.496885;2021-12-30 17:39:55.496885;394.907.001;-0.380687;130000;https://www.idealista.com/inmueble/348293/;130000;2022-02-23 11:12:39.561762;"[""Calle Gayano Lluch, 5"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";rascanya;con ascensor;1.0;5.0;interior;0;30/12/2021;23/02/2022;55;0
107;1.0;63.0;0.0;1.0;1.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Carolina Alvarez, 10"", ""Barrio La Creu del Grau"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";2022-01-11 21:19:16.019113;2022-01-11 21:19:16.019113;394.610.524;-0.3465355;270000;https://www.idealista.com/inmueble/378806/;270000;2022-02-23 11:44:47.068670;"[""Calle Carolina Alvarez, 10"", ""Barrio La Creu del Grau"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";camins al grau;con ascensor;1.0;4.0;exterior;0;11/01/2022;23/02/2022;43;0
109;2.0;90.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Pintor Rafael Solbes, 12"", ""Barrio Camí Reial"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";2022-01-13 03:26:46.427911;2022-01-13 03:26:46.427911;394.400.834;-0.3902582000000001;140000;https://www.idealista.com/inmueble/379093/;145000;2022-02-23 11:36:28.394247;"[""Calle Pintor Rafael Solbes, 12"", ""Barrio Camí Reial"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";jesús;con ascensor;1.0;5.0;exterior;5000;13/01/2022;23/02/2022;41;0
113;2.0;104.0;1.0;1.0;1.0;1.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Salvador Rodríguez Bronchu, 1"", ""Barrio Nou Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-01-11 22:39:21.156491;2022-01-11 22:39:21.156491;394.950.048;-0.3891211;253700;https://www.idealista.com/inmueble/391171/;253700;2022-02-23 11:51:45.342964;"[""Calle Salvador Rodríguez Bronchu, 1"", ""Barrio Nou Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";benicalap;con ascensor;1.0;3.0;exterior;0;11/01/2022;23/02/2022;43;0
170;2.0;107.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;1;2;1;"[""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-02-09 03:58:48.782318;2022-02-09 03:58:48.782359;394.903.935;-0.3917345;125000;https://www.idealista.com/inmueble/1574032/;125000;2022-02-23 11:55:47.405516;"[""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";benicalap;con ascensor;1.0;1.0;;0;09/02/2022;23/02/2022;14;0
224;2.0;120.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;1;1;"[""Plaza Honduras, 5"", ""Barrio Ciutat Jardí"", ""Distrito Algirós"", ""València"", ""Valencia, València""]";2022-01-11 21:55:24.519540;2022-01-11 21:55:24.519540;39.474.636;-0.3454128;359000;https://www.idealista.com/inmueble/1622330/;359000;2022-02-23 11:51:21.569729;"[""Plaza Honduras, 5"", ""Barrio Ciutat Jardí"", ""Distrito Algirós"", ""València"", ""Valencia, València""]";algirós;con ascensor;1.0;9.0;exterior;0;11/01/2022;23/02/2022;43;0
228;2.0;90.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Pedro de Valencia, 22"", ""Barrio L'Illa Perduda"", ""Distrito Algirós"", ""València"", ""Valencia, València""]";2022-01-11 21:55:23.309724;2022-01-11 21:55:23.309724;3.946.848;-0.33693320000000004;220000;https://www.idealista.com/inmueble/1626165/;220000;2022-02-23 11:52:55.953205;"[""Calle Pedro de Valencia, 22"", ""Barrio L'Illa Perduda"", ""Distrito Algirós"", ""València"", ""Valencia, València""]";algirós;con ascensor;1.0;4.0;exterior;0;11/01/2022;23/02/2022;43;0
266;2.0;113.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Maldonado, 41"", ""Barrio El Pilar"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:29:16.472445;2021-12-30 15:29:16.472445;394.716.607;-0.3823512;279900;https://www.idealista.com/inmueble/1652533/;279900;2021-12-30 15:29:05.815966;"[""Calle Maldonado, 41"", ""Barrio El Pilar"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";ciutat vella;con ascensor;1.0;4.0;exterior;0;30/12/2021;30/12/2021;0;1
282;2.0;180.0;0.0;1.0;1.0;0.0;1.0;4.0;1.0;0.0;1;1;1;"[""Calle San Vicente Mártir, 219"", ""Barrio La Raiosa"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";2022-01-11 19:35:24.523708;2022-01-11 19:35:24.523708;394.560.408;-0.3837195;350000;https://www.idealista.com/inmueble/1659141/;350000;2022-02-23 11:45:51.954807;"[""Calle San Vicente Mártir, 219"", ""Barrio La Raiosa"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";jesús;con ascensor;1.0;1.0;exterior;0;11/01/2022;23/02/2022;43;0
332;2.0;120.0;0.0;1.0;1.0;0.0;1.0;3.0;1.0;0.0;1;1;1;"[""Calle Ángel del Alcázar, 24"", ""Barrio Tres Forques"", ""Distrito L'Olivereta"", ""València"", ""Valencia, València""]";2022-01-11 18:33:42.448523;2022-01-11 18:33:42.448523;394.689.947;-0.4041885;200000;https://www.idealista.com/inmueble/1715184/;200000;2022-02-23 11:32:32.163397;"[""Calle Ángel del Alcázar, 24"", ""Barrio Tres Forques"", ""Distrito L'Olivereta"", ""València"", ""Valencia, València""]";l'olivereta;con ascensor;1.0;5.0;exterior;0;11/01/2022;23/02/2022;43;0
