id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;distrito;barrio;features;armarios empotrados;acceso adaptado;aire acondicionado;balcon;trastero;garaje incluido;calefaccion;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
266;2.0;113.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Maldonado, 41"", ""Barrio El Pilar"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:29:16.472445;2021-12-30 15:29:16.472445;39.4716607;-0.3823512;279900;https://www.idealista.com/inmueble/1652533/;279900;2021-12-30 15:29:05.815966;ciutat vella;el pilar;"[""113 m² construidos, 100 m² útiles"", ""3 habitaciones"", ""2 baños"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Construido en 2006"", ""Calefacción central"", ""Planta 4ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;1.0;0.0;0.0;1.0;4.0;exterior;0;2021-12-30;2021-12-30;0 days;1
361;2.0;115.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;1;1;1;"[""Calle Doctor Manuel Candela, 3"", ""Barrio Albors"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";2022-02-09 03:50:58.494789;2022-02-09 03:50:58.494861;39.4659224;-0.35124659999999996;220000;https://www.idealista.com/inmueble/1757067/;220000;2022-02-09 03:40:49.473219;camins al grau;albors;"[""115 m² construidos, 110 m² útiles"", ""3 habitaciones"", ""2 baños"", ""Terraza"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación este"", ""Planta 5ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;exterior;0;2022-02-09;2022-02-09;0 days;1
421;1.0;80.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Amparo Ballester, 8"", ""Barrio Beteró"", ""Distrito Poblats Marítims"", ""València"", ""Valencia, València""]";2022-01-11 18:22:20.428823;2022-01-11 18:22:20.428862;39.472990700000004;-0.33499670000000004;134000;https://www.idealista.com/inmueble/1858636/;134000;2022-01-27 05:52:05.436067;poblats marítims;beteró;"[""80 m² construidos, 60 m² útiles"", ""2 habitaciones"", ""1 baño"", ""Terraza"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación este"", ""Construido en 2000"", ""No dispone de calefacción"", ""Planta 3ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;1.0;0.0;1.0;3.0;exterior;0;2022-01-11;2022-01-27;16 days;1
624;1.0;63.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1;1;1;"[""Calle Dénia, 10"", ""Barrio Russafa"", ""Distrito L'Eixample"", ""València"", ""Valencia, València""]";2021-12-30 17:06:58.152027;2021-12-30 17:06:58.152027;39.4635224;-0.3734334;250000;https://www.idealista.com/inmueble/25681536/;250000;2022-01-14 23:39:43.787594;l'eixample;russafa;"[""63 m² construidos, 55 m² útiles"", ""1 habitación"", ""1 baño"", ""Terraza"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación sur, oeste"", ""Calefacción individual: Eléctrica"", ""Acceso adaptado a personas con movilidad reducida"", ""Planta 5ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;1.0;1.0;0.0;0.0;0.0;1.0;5.0;exterior;0;2021-12-30;2022-01-14;15 days;1
920;1.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;1;1;"[""Calle de las Acacias, 26"", ""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-01-11 22:23:26.475372;2022-01-11 22:23:26.475372;39.491238700000004;-0.3880711;135000;https://www.idealista.com/inmueble/27885469/;135000;2022-01-11 22:23:23.504605;benicalap;benicalap;"[""62 m² construidos, 60 m² útiles"", ""Sin habitación"", ""1 baño"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación este"", ""Calefacción individual: Bomba de frío/calor"", ""Planta 2ª interior"", ""sin ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;interior;0;2022-01-11;2022-01-11;0 days;1
923;3.0;212.0;0.0;1.0;1.0;0.0;0.0;5.0;1.0;0.0;1;2;1;"[""Calle Doctor Ferran"", ""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:46:58.529632;2021-12-30 19:46:58.529632;39.471011100000005;-0.3550075;502000;https://www.idealista.com/inmueble/27925767/;502000;2022-01-27 06:12:50.564080;el pla del real;mestalla;"[""212 m² construidos"", ""5 habitaciones"", ""3 baños"", ""Plaza de garaje por 20.000 € adicionales"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Construido en 2013"", ""Calefacción individual: Gas natural"", ""Acceso adaptado a personas con movilidad reducida"", ""Planta 4ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;1.0;1.0;0.0;0.0;1.0;1.0;4.0;exterior;0;2021-12-30;2022-01-27;28 days;1
936;2.0;119.0;0.0;1.0;1.0;0.0;1.0;5.0;1.0;0.0;1;2;1;"[""Calle Cuenca"", ""Barrio Patraix"", ""Distrito Patraix"", ""València"", ""Valencia, València""]";2021-12-30 18:59:29.019675;2021-12-30 18:59:29.019675;39.4582938;-0.39178409999999997;160000;https://www.idealista.com/inmueble/28026314/;160000;2022-01-19 01:46:53.072340;patraix;patraix;"[""119 m² construidos"", ""5 habitaciones"", ""2 baños"", ""Terraza"", ""Balcón"", ""Plaza de garaje por 10.000 € adicionales"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación sur, oeste"", ""Construido en 1974"", ""Calefacción individual: Eléctrica"", ""Acceso adaptado a personas con movilidad reducida"", ""Planta 6ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;1.0;1.0;1.0;0.0;1.0;1.0;6.0;exterior;0;2021-12-30;2022-01-19;20 days;1
1059;2.0;100.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;1;2;1;"[""Calle Juan de Garay"", ""Barrio Barrio de Favara"", ""Distrito Patraix"", ""València"", ""Valencia, València""]";2021-12-30 19:09:11.535851;2021-12-30 19:09:11.535851;39.4522925;-0.39479190000000003;120000;https://www.idealista.com/inmueble/28813637/;120000;2022-02-12 12:34:01.669818;patraix;de favara;"[""100 m² construidos, 90 m² útiles"", ""4 habitaciones"", ""2 baños"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Planta 3ª exterior"", ""con ascensor""]";1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;exterior;0;2021-12-30;2022-02-12;44 days;1
1307;1.0;85.0;0.0;1.0;0.0;0.0;1.0;4.0;1.0;0.0;1;1;1;"[""Calle ángel del alcázar, 4"", ""Barrio Tres Forques"", ""Distrito L'Olivereta"", ""València"", ""Valencia, València""]";2022-01-11 18:36:01.953743;2022-01-11 18:36:01.953743;39.468138399999994;-0.4003488;145000;https://www.idealista.com/inmueble/30868217/;145000;2022-02-19 17:14:10.802252;l'olivereta;tres forques;"[""85 m² construidos"", ""4 habitaciones"", ""1 baño"", ""Terraza"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación sur"", ""Calefacción individual: Bomba de frío/calor"", ""Planta 4ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;exterior;0;2022-01-11;2022-02-19;39 days;1
1363;2.0;110.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;2;1;"[""Barrio Patraix"", ""Distrito Patraix"", ""València"", ""Valencia, València""]";2021-12-30 19:12:43.502507;2021-12-30 19:12:43.502507;39.4641136;-0.3936071;170000;https://www.idealista.com/inmueble/30902353/;170000;2022-01-14 23:53:40.048252;patraix;patraix;"[""110 m² construidos"", ""3 habitaciones"", ""2 baños"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación sur"", ""No dispone de calefacción"", ""Planta 3ª exterior"", ""con ascensor""]";1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;exterior;0;2021-12-30;2022-01-14;15 days;1
